_20_1,4,9987,19413
_20_2,4,8841,18441
_20_3,4,8458,17818
_20_4,4,9474,19074
_20_5,4,9067,18427
_20_6,4,9220,18820
_20_7,3,6604,15304
_20_8,4,9069,18429
_20_9,4,8447,18047
_20_10,4,7818,17418
_30_1,5,11457,24657
_30_2,5,11177,24377
_30_3,6,12963,27019
_30_4,6,13566,26766
_30_5,5,11819,25319
_30_6,5,11923,25123
_30_7,5,12096,25596
_30_8,6,12996,27036
_30_9,5,11428,24928
_30_10,6,13149,27189
_40_1,7,14731,33031
_40_2,7,17260,35560
_40_3,7,15493,33385
_40_4,7,16573,34873
_40_5,7,15321,33621
_40_6,7,16249,34529
_40_7,7,17175,35475
_40_8,6,15574,32974
_40_9,7,15289,33589
_40_10,7,15996,34296
_50_1,8,16415,38615
_50_2,8,18803,40523
_50_3,8,18221,40047
_50_4,8,19289,41489
_50_5,8,17391,39458
_50_6,8,17754,39954
_50_7,8,18245,39965
_50_8,9,18304,40661
_50_9,8,18740,40460
_50_10,8,18271,40471
_60_1,9,20010,46110
_60_2,10,23832,50832
_60_3,8,19279,44479
_60_4,9,18028,44128
_60_5,9,18706,44806
_60_6,9,22381,48481
_60_7,9,20222,46322
_60_8,10,23539,50539
_60_9,9,20760,46860
_60_10,9,19577,45137
_70_1,11,24865,55105
_70_2,11,23423,53663
_70_3,11,22640,52880
_70_4,10,22435,51835
_70_5,10,23155,52555
_70_6,11,23831,54071
_70_7,11,25024,55264
_70_8,11,24087,54987
_70_9,12,24735,56535
_70_10,11,24483,55383
_80_1,12,27971,62657
_80_2,13,26820,61740
_80_3,12,24911,59711
_80_4,13,26454,61374
_80_5,12,26592,61392
_80_6,13,27651,63351
_80_7,12,26600,61400
_80_8,13,29518,65218
_80_9,12,26684,61484
_80_10,12,27285,62085
_90_1,14,29114,67874
_90_2,14,29822,69121
_90_3,13,28688,67388
_90_4,14,29993,68753
_90_5,13,28782,67460
_90_6,14,29452,68212
_90_7,13,29722,68422
_90_8,14,28864,67624
_90_9,13,26960,64999
_90_10,13,28521,66441
