2460,10,71,24635.0,54935.0,2052.9166666666665,9155.833333333332,300749.0
4200,9,70,22327.0,51427.0,1860.5833333333333,8571.166666666666,266527.0
6060,9,70,23219.0,52319.0,1934.9166666666665,8719.833333333332,282303.0
8220,10,70,25086.0,55086.0,2090.5,9181.0,299121.0
10860,9,71,22273.0,51673.0,1856.0833333333333,8612.166666666666,309321.0
13620,8,54,20661.0,44061.0,1721.75,7343.5,235615.0
16380,9,52,21916.0,45616.0,1826.3333333333333,7602.666666666666,226838.0
19140,9,55,21387.0,45987.0,1782.25,7664.5,236934.0
21900,8,61,20714.0,46214.0,1726.1666666666665,7702.333333333333,267079.0
23880,9,73,22483.0,52483.0,1873.5833333333333,8747.166666666666,303418.0
25740,10,72,25235.0,55835.0,2102.9166666666665,9305.833333333332,286737.0
27060,9,74,22892.0,53192.0,1907.6666666666665,8865.333333333332,274349.0
28380,9,75,24640.0,55240.0,2053.333333333333,9206.666666666666,279247.0
29940,9,71,23813.0,53213.0,1984.4166666666665,8868.833333333332,287405.0
31800,10,72,25548.0,56148.0,2129.0,9358.0,286678.0
34440,10,71,25009.0,55309.0,2084.083333333333,9218.166666666666,308054.0
37200,10,62,22017.0,49617.0,1834.75,8269.5,272824.0
39960,7,41,20844.0,39444.0,1737.0,6574.0,185958.0
42960,4,15,9056.0,17156.0,754.6666666666666,2859.333333333333,57461.0
