2040,2367,3059,3042,4083,3366,4063
2159,2203,3700,3569,3490,3188,2942
3262,2939,2542,3324,2739,3621,3918
1990,3103,3559,2906,2660,4101,3750
2526,2692,3260,3216,3793,2434,2781
1415,2718,3413,2617,3611,3337,3688
1921,3044,2901,3406,4126,3006,3662
2308,3016,2577,2258,2742,3338,4018
3338,3471,2663,3642,2452,2303,2853
1969,3463,3073,3692,3772,3148,3601
2151,2718,3535,3024,3544,3539,2365
2400,2827,3904,2690,3098,3332,3412
3373,2477,3583,3602,2832,2938,4327
1779,3717,2885,3028,3587,3107,2996
2877,3190,3259,3795,2597,3171,3730
1358,3323,3153,3155,3523,3374,2746
3081,3091,3969,3199,3701,,
4126,3478,,,,,
