0.022,2458.7470927298405,2458.7470927298405
0.153,2343.57060760707,2343.5706076070696
0.268,2232.0471579363602,2232.0471579363602
0.38,2179.1306153572414,2179.1306153572414
0.474,2077.7920150470572,2077.7920150470577
0.582,2077.7920150470572,2077.7920150470572
0.7,2013.463371257779,2013.463371257779
0.81,2005.712703123058,2005.7127031230582
0.91,2005.712703123058,2005.712703123058
1.024,1934.5744430964596,1934.5744430964596
1.12,1893.2430658617172,1893.2430658617175
1.23,1893.2430658617172,1885.76853372049
1.426,1893.2430658617172,1885.7685337204898
1.545,1893.2430658617172,1869.0789028760178
1.663,1893.2430658617172,1869.0789028760178
1.968,1873.0561762382379,1833.0710922824358
2.078,1873.056176238238,1833.0710922824355
2.249,1844.6340993998178,1804.6662639555977
2.357,1843.677256107082,1799.3938708005726
2.488,1804.1713553987236,1785.4408271195443
2.674,1804.1713553987236,1770.0855667638446
2.811,1804.1713553987236,1770.0855667638446
2.935,1804.1713553987233,1770.0855667638446
3.07,1804.1713553987233,1768.527806659553
3.206,1804.1713553987236,1748.5276865011751
3.324,1768.6218226972373,1720.7260084071859
3.499,1768.6218226972376,1720.7260084071859
3.611,1768.6218226972373,1719.8869246439704
3.76,1759.0161507830676,1717.333164144257
4.0,1759.0161507830676,1717.333164144257
4.114,1759.0161507830676,1717.333164144257
4.263,1759.0161507830676,1717.333164144257
4.397,1759.016150783068,1717.333164144257
4.526,1759.0161507830678,1717.333164144257
4.674,1759.0161507830683,1717.3331641442567
4.811,1759.016150783068,1717.333164144257
4.952,1754.3812328775518,1712.6982462387407
5.078,1754.3812328775518,1712.698246238741
5.234,1754.3812328775518,1712.6982462387407
5.404,1751.3725837721659,1710.5958594021479
5.582,1747.775065230021,1709.7233887819148
5.734,1711.0612950306731,1699.7326391220186
5.872,1711.0612950306736,1699.2456706613282
6.053,1711.0612950306731,1699.2456706613282
6.185,1711.0612950306731,1699.245670661328
6.312,1711.0612950306731,1699.2456706613282
6.426,1711.0612950306731,1699.100765122335
6.613,1711.0612950306731,1695.7967872208478
6.753,1711.0612950306731,1695.7967872208476
6.935,1711.0612950306731,1695.7967872208476
7.055,1709.0542018228593,1695.7967872208476
7.145,1709.0542018228593,1695.7967872208476
