1200,5937.0,5937.0,5052.0,5366.0,5722.0,6484.0,
2460,5355.0,6209.0,6155.0,5886.0,4965.0,5232.0,
3720,6394.0,5615.0,5124.0,5744.0,6764.0,5537.0,4503.0,4590.0,
4980,5067.0,4724.0,5824.0,4879.0,6031.0,6217.0,4508.0,5729.0,4759.0,
6240,7068.0,5090.0,5837.0,6011.0,6664.0,5351.0,6505.0,3647.0,
7500,5372.0,5144.0,5789.0,6518.0,6499.0,5635.0,6017.0,5292.0,
8760,6323.0,6570.0,5865.0,4507.0,
10020,5240.0,6677.0,4775.0,5206.0,6035.0,
11280,5513.0,5771.0,5613.0,5199.0,6503.0,6162.0,
12600,5597.0,6515.0,5253.0,5283.0,
13860,5239.0,5714.0,6457.0,5079.0,4766.0,4097.0,
15120,5408.0,5665.0,5851.0,6191.0,4967.0,
16380,5033.0,5444.0,5612.0,4773.0,
17640,5030.0,6203.0,5229.0,5871.0,6028.0,3422.0,
18900,5060.0,4515.0,5988.0,4234.0,4539.0,
20280,5966.0,5259.0,5380.0,5586.0,4921.0,
21540,4955.0,5445.0,6072.0,5547.0,4975.0,
22800,6071.0,6861.0,6219.0,6633.0,6141.0,4795.0,5619.0,
24060,4819.0,6590.0,5387.0,5917.0,6196.0,6410.0,
25320,5304.0,5624.0,5855.0,6217.0,6366.0,6494.0,5702.0,5279.0,3277.0,
26640,4686.0,5558.0,6390.0,6338.0,5974.0,5444.0,6833.0,5690.0,5837.0,
27900,5543.0,5973.0,6167.0,5600.0,6051.0,4979.0,5407.0,5566.0,5726.0,6383.0,6024.0,
29160,5293.0,6303.0,6531.0,5960.0,6326.0,5459.0,6441.0,6014.0,5299.0,6110.0,6027.0,
30420,6103.0,5525.0,6386.0,6120.0,5485.0,5220.0,5409.0,6343.0,4266.0,
31680,5253.0,4443.0,6771.0,6273.0,5350.0,5051.0,6608.0,
32940,5886.0,5132.0,5471.0,5104.0,6126.0,5941.0,4867.0,3815.0,
34260,5525.0,5478.0,6115.0,6517.0,4877.0,
35520,5522.0,5623.0,5984.0,5377.0,5323.0,5881.0,2912.0,
36780,5361.0,5724.0,5054.0,5304.0,5887.0,
38280,5857.0,5676.0,5800.0,6661.0,
39600,5837.0,6061.0,6193.0,4925.0,
40920,5386.0,4136.0,4450.0,
42180,5251.0,6311.0,
43200,4846.0,
