2460,5302.0,5694.0,6328.0,6802.0,8138.0,8069.0,8217.0,
4200,8213.0,7877.0,7156.0,7767.0,7612.0,7267.0,
6060,3845.0,6381.0,6652.0,8220.0,8682.0,6734.0,8406.0,
8220,5105.0,7055.0,7468.0,6171.0,7825.0,8479.0,6726.0,
10860,4924.0,7207.0,6975.0,8734.0,7673.0,5610.0,6304.0,
14220,2725.0,6749.0,7290.0,7383.0,8232.0,7046.0,8652.0,
17760,4822.0,6778.0,6441.0,6615.0,8395.0,6999.0,8426.0,
21420,4753.0,7271.0,6163.0,6004.0,6782.0,7581.0,8069.0,
23400,7210.0,7270.0,6039.0,8158.0,5509.0,6575.0,7662.0,
25200,4649.0,6694.0,6977.0,7284.0,8526.0,6951.0,8695.0,
26760,5762.0,6566.0,7271.0,7014.0,7852.0,8733.0,5216.0,
28080,3927.0,5040.0,5053.0,8969.0,5848.0,7746.0,8317.0,7869.0,
29400,3921.0,5902.0,6764.0,7959.0,7654.0,8267.0,9028.0,
31320,3308.0,7626.0,6319.0,6653.0,7885.0,8886.0,8246.0,
33720,5871.0,7245.0,7416.0,7783.0,6304.0,7594.0,8465.0,
36060,2795.0,7560.0,6903.0,7413.0,8214.0,8271.0,6792.0,
39780,6689.0,6973.0,8234.0,8210.0,7924.0,
43200,7615.0,6910.0,
