2700,6906,6857,5947,6315,5293,5326,6775,6938,7595,2038,,,,,,
5460,5699,6376,6346,6678,6673,5979,7335,5276,6127,5318,7518,7622,4520,,,
8220,5657,6599,5856,5685,6461,7263,6357,6715,6346,5136,7253,,,,,
10980,5455,7364,6793,6261,7084,6402,5960,7326,4614,,,,,,,
13740,5863,5844,6752,6883,7292,8004,4133,,,,,,,,,
16500,4860,6999,5888,6947,6853,6853,5624,,,,,,,,,
19260,5896,5932,5726,6918,6630,6670,6204,,,,,,,,,
22020,6419,5713,7830,5744,6777,6531,7073,,,,,,,,,
24780,5273,6216,5816,7493,7048,5543,6575,7506,6726,5982,6246,6810,5179,,,
27540,5382,5630,6280,6799,6067,7495,7978,5607,5797,6800,6840,7049,6165,6770,5905,
30300,6318,5590,5549,7185,6884,6585,7427,6325,5722,6991,5291,6538,6664,6417,6966,7338
33060,5641,6877,6623,5295,5961,6710,7219,6955,6918,5298,6960,2854,,,,
35880,7237,4804,6791,7491,5921,6827,7542,6623,6444,,,,,,,
38640,5855,5720,7364,6023,6670,4841,,,,,,,,,,
41400,6195,6194,6856,4957,,,,,,,,,,,,
43200,6441,4997,,,,,,,,,,,,,,
