2460,2040.0,2367.0,3059.0,3042.0,4083.0,3366.0,4063.0,
4200,3497.0,3651.0,2828.0,3414.0,3484.0,2711.0,
6060,3262.0,2939.0,2542.0,3324.0,2739.0,3621.0,3918.0,
8220,1990.0,3103.0,3559.0,2906.0,2660.0,4101.0,3750.0,
10860,2526.0,2692.0,3260.0,3216.0,3793.0,2434.0,2781.0,
14220,1415.0,2718.0,3413.0,2617.0,3611.0,3337.0,3688.0,
17760,1921.0,3044.0,2901.0,3406.0,4126.0,3006.0,3662.0,
21420,2308.0,3016.0,2577.0,2258.0,2742.0,3338.0,4018.0,
23400,3338.0,3471.0,2663.0,3642.0,2452.0,2303.0,2853.0,
25200,1969.0,3463.0,3073.0,3692.0,3772.0,3148.0,3601.0,
26820,3746.0,3245.0,2535.0,2978.0,3276.0,3645.0,2225.0,
28080,2392.0,3294.0,3044.0,3261.0,3618.0,3017.0,3863.0,
29400,1648.0,3036.0,3321.0,3068.0,3630.0,3315.0,3687.0,
31320,1717.0,3239.0,2536.0,2658.0,2945.0,3762.0,3446.0,
33720,2877.0,3190.0,3259.0,3795.0,2597.0,3171.0,3730.0,
36060,1358.0,3323.0,3153.0,3155.0,3523.0,3374.0,2746.0,
39780,3236.0,2710.0,3282.0,3807.0,3701.0,
43200,4126.0,3478.0,
