1800,6,56,17159.0,39359.0,1429.9166666666665,6559.833333333333,263061.0
3660,5,57,16580.0,38180.0,1381.6666666666665,6363.333333333333,489510.0
5520,8,79,23316.0,54216.0,1943.0,9036.0,584520.0
7440,7,76,23224.0,52324.0,1935.3333333333333,8720.666666666666,609390.0
9300,4,43,13172.0,29672.0,1097.6666666666665,4945.333333333333,324851.0
11160,5,49,13514.0,32714.0,1126.1666666666665,5452.333333333333,381334.0
13020,4,34,10898.0,24698.0,908.1666666666666,4116.333333333333,237293.0
15000,4,45,13841.0,30941.0,1153.4166666666665,5156.833333333333,385664.0
16860,3,32,11019.0,23319.0,918.25,3886.5,253827.0
18720,4,36,14090.0,28490.0,1174.1666666666665,4748.333333333333,249265.0
20580,4,38,11627.0,26627.0,968.9166666666666,4437.833333333333,296544.0
22500,6,55,17405.0,39305.0,1450.4166666666665,6550.833333333333,405473.0
24360,7,63,18523.0,43723.0,1543.5833333333333,7287.166666666666,482137.0
26220,7,75,20276.0,49076.0,1689.6666666666665,8179.333333333333,572854.0
28080,10,107,29647.0,70747.0,2470.583333333333,11791.166666666666,788841.0
29940,9,94,27229.0,63529.0,2269.083333333333,10588.166666666666,836230.0
31800,7,72,21008.0,48908.0,1750.6666666666665,8151.333333333333,621854.0
33660,4,45,13744.0,30844.0,1145.3333333333333,5140.666666666666,358580.0
35520,5,56,15204.0,36504.0,1267.0,6084.0,469841.0
37380,4,35,12173.0,26273.0,1014.4166666666666,4378.833333333333,277824.0
39240,3,30,11718.0,23418.0,976.5,3903.0,204303.0
41100,2,13,6324.0,12024.0,527.0,2004.0,74256.0
43140,2,10,6371.0,11171.0,530.9166666666666,1861.8333333333333,63701.0
43200,0,0,0.0,0.0,0.0,0.0,0.0
