2520,7,73,19438.0,47638.0,1619.8333333333333,7939.666666666666,363921.0
4500,7,76,19496.0,48596.0,1624.6666666666665,8099.333333333333,354911.0
6300,7,72,20064.0,47964.0,1672.0,7994.0,325344.0
8700,7,70,18639.0,45939.0,1553.25,7656.5,366077.0
11400,7,72,18576.0,46476.0,1548.0,7746.0,355037.0
14760,7,73,20368.0,48568.0,1697.3333333333333,8094.666666666666,376274.0
18420,7,67,18171.0,44571.0,1514.25,7428.5,344957.0
21840,7,70,18803.0,46103.0,1566.9166666666665,7683.833333333333,354959.0
24120,9,82,22807.0,55507.0,1900.5833333333333,9251.166666666666,372162.0
26040,8,75,21418.0,51118.0,1784.8333333333333,8519.666666666666,336758.0
27300,8,78,23069.0,53669.0,1922.4166666666665,8944.833333333332,329796.0
28740,8,84,22418.0,54818.0,1868.1666666666665,9136.333333333332,365028.0
30840,8,81,21687.0,53187.0,1807.25,8864.5,377710.0
33060,7,74,20230.0,48730.0,1685.8333333333333,8121.666666666666,366665.0
35760,7,77,19770.0,49170.0,1647.5,8195.0,378875.0
39420,6,55,18499.0,40399.0,1541.5833333333333,6733.166666666666,295918.0
43080,4,22,10319.0,20519.0,859.9166666666666,3419.833333333333,112922.0
