0.014,79902.0,79902.0
11.995,64035.0,64035.0
13.354,48509.0,48509.0
14.462,48509.0,47553.0
15.395,48509.0,45499.25
18.641,45816.0,41489.25
19.269,45816.0,41489.25
19.903,41060.0,36939.25
20.184,41060.0,36054.65
20.423,41060.0,35542.48333333333
20.642,41060.0,34285.333333333336
20.861,41060.0,33888.518518518526
21.163,41060.0,33749.96153846154
21.412,41060.0,33297.241541755895
21.627,41060.0,32444.879014989296
21.752,41060.0,31041.162205567452
21.893,41060.0,30038.39002158791
22.05,41060.0,29851.225593667546
22.138,41060.0,29792.557251908394
22.274,41060.0,29782.874557130206
22.487,41060.0,29781.2323959256
22.703,41060.0,29781.2323959256
